question_id,tipo_questao,dataset,modelo,nivel_dificuldade,disciplina,tema,texto_questao,gabarito_oficial,resposta,correto,json_parse_ok,saida_bruta,timestamp_execucao
2012-09_48,OBJETIVA,J2,gemma2,facil,Direito Empresarial,Subsidiária Integral,"Leia o trecho a seguir.
Companhia cuja totalidade das ações em que se divide o capital pertence a uma sociedade brasileira.
Essa definição refere-se à",A,C,False,True,"{```json
{
  ""resposta_objetiva"": ""C""
}
```",2026-03-31T01:37:39Z
2012-09_49,OBJETIVA,J2,gemma2,medio,Direito Empresarial,Sociedade Limitada,"A sociedade limitada encontra-se regulada nos artigos 1052 a 1087 do Código Civil. Para que ela possa atingir sua finalidade, necessita de patrimônio, já que sua personalidade é diversa da personalidade dos sócios. Em relação ao capital e ao patrimônio social desse tipo societário, assinale a afirmativa incorreta.",B,C,False,True,"{```json
{
  ""resposta_objetiva"": ""C""
}
```",2026-03-31T01:37:41Z
2012-09_50,OBJETIVA,J2,gemma2,medio,Direito Empresarial,Duplicata e Princípios Cambiários,"Com relação aos títulos de crédito, assinale a afirmativa correta.",D,C,False,True,"{```json
{
  ""resposta_objetiva"": ""C""
}
```",2026-03-31T01:37:43Z
2012-09_51,OBJETIVA,J2,gemma2,medio,Direito Empresarial,Classificação de Créditos,"A respeito do processo de falência, assinale a afirmativa correta.",C,C,True,True,"{```json
{
  ""resposta_objetiva"": ""C""
}
```",2026-03-31T01:37:45Z
2012-09_52,OBJETIVA,J2,gemma2,medio,Direito Civil,Arrendamento Mercantil (Leasing),"Primavera do Leste Arrendamento Mercantil S.A. ajuizou ação de reintegração de posse de bem arrendado à sociedade empresária Vila Bela Distribuidora de Jornais e Revistas Ltda., em face do não pagamento das prestações nos vencimentos. O contrato de arrendamento mercantil prevê resolução de pleno direito em caso de qualquer inadimplemento da arrendatária.
O juiz extinguiu o processo sem resolução de mérito porque",A,C,False,True,"{```json
{
  ""resposta_objetiva"": ""C""
}
```",2026-03-31T01:37:47Z
2012-09_53,OBJETIVA,J2,gemma2,medio,Direito Administrativo,Procedimento,"Os Juizados Especiais da Fazenda Pública, órgãos da Justiça comum e integrantes do Sistema dos Juizados Especiais, foram instituídos pela Lei n. 12.153/2009.
Com base nessas disposições, asinale a afirmativa correta.",D,D,True,True,"{```json
{
  ""resposta_objetiva"": ""D""
}
```",2026-03-31T01:37:50Z
2012-09_54,OBJETIVA,J2,gemma2,medio,Direito Constitucional,Mandado de Segurança,"Impetrado um mandado de segurança, já sob a égide da Lei n. 12.016/2009, assinale a afirmativa correta.",A,C,False,True,"{```json
{
  ""resposta_objetiva"": ""C""
}
```",2026-03-31T01:37:52Z
2012-09_55,OBJETIVA,J2,gemma2,medio,Direito Civil,Intervenção de Terceiros,"Considerando a assistência e as demais formas de intervenção de terceiros previstas no Código de Processo Civil, assinale a afirmativa correta.",C,B,False,True,"{```json
{
  ""resposta_objetiva"": ""B""
}
```",2026-03-31T01:37:54Z
2012-09_56,OBJETIVA,J2,gemma2,medio,Direito Civil,Ação Rescisória,"A respeito da Ação Rescisória, assinale a afirmativa correta.",B,C,False,True,"{```json
{
  ""resposta_objetiva"": ""C""
}
```",2026-03-31T01:37:56Z
2012-09_57,OBJETIVA,J2,gemma2,medio,Direito Constitucional,Recurso Extraordinário e Repercussão Geral,"Como forma de prestigiar o princípio da razoável duração do processo e propiciar uma prestação jurisdicional mais célere e eficiente, um legislador promoveu uma série de alterações na sistemática recursal do Processo Civil brasileiro. Nesse sentido, destaca-se a Emenda Constitucional n. 45/2004 que introduziu em nosso ordenamento jurídico a figura da repercussão geral.
Acerca deste instituto, assinale a afirmativa correta.",B,C,False,True,"{```json
{
  ""resposta_objetiva"": ""C""
}
```",2026-03-31T01:37:58Z
2012-09_58,OBJETIVA,J2,gemma2,medio,Direito Civil,Impugnação ao Cumprimento de Sentença,"A execução tem por finalidade precípua a adoção de medidas necessárias à satisfação da obrigação prevista em um título executivo judicial ou extrajudicial. Em um primeiro momento, vigia no ordenamento pátrio o princípio da autonomia, segundo o qual as atividades executivas e de conhecimento deveriam ser desenvolvidas necessariamente por meio de ações distintas. Contudo, tal sistemática foi alvo de uma série de reformas que buscaram prestigiar um desenvolvimento sincrético do processo, bem como a própria efetivação do título executivo.
Com base na legislação vigente, assinale a afirmativa correta:",B,C,False,True,"{```json
{
  ""resposta_objetiva"": ""C""
}
```",2026-03-31T01:38:00Z
2012-09_59,OBJETIVA,J2,gemma2,medio,Direito Penal,Progressão de Regime,"O sistema punitivo brasileiro é progressivo. Por meio dele o condenado passa do regime inicial de cumprimento de pena mais severo para regime mais brando, até alcançar o livramento condicional ou a liberdade definitiva.
A respeito da progressão de regime, assinale a afirmativa correta.",C,B,False,True,"{```json
{
  ""resposta_objetiva"": ""B""
}
```",2026-03-31T01:38:03Z
2012-09_60,OBJETIVA,J2,gemma2,medio,Direito Penal,Princípios da Ação Penal,"Tendo como base o instituto da ação penal, assinale a afirmativa correta.",A,C,False,True,"{```json
{
  ""resposta_objetiva"": ""C""
}
```",2026-03-31T01:38:05Z
2012-09_61,OBJETIVA,J2,gemma2,medio,Direito Penal,Excludentes de Ilicitude e Culpabilidade,"Acerca das causas excludentes de ilicitude e extintivas de punibilidade, assinale a afirmativa incorreta.",B,C,False,True,"{```json
{
  ""resposta_objetiva"": ""C""
}
```",2026-03-31T01:38:07Z
2012-09_62,OBJETIVA,J2,gemma2,medio,Direito Penal,Relação de Causalidade e Agravação pelo Resultado,"José subtrai o carro de um jovem que lhe era totalmente desconhecido, chamado João. Tal subtração deu-se mediante o emprego de grave ameaça exercida pela utilização de arma de fogo. João, entretanto, rapaz jovem e de boa saúde, sem qualquer histórico de doença cardiovascular, assusta-se de tal forma com a arma, que vem a óbito em virtude de ataque cardíaco.
Com base no cenário acima, assinale a afirmativa correta.",B,C,False,True,"{```json
{
  ""resposta_objetiva"": ""C""
}
```",2026-03-31T01:38:09Z
2012-09_63,OBJETIVA,J2,gemma2,dificil,Direito Penal,Reincidência,"Guilherme praticou, em 18/02/2009, contravenção penal de vias de fato (Art. 21 do Decreto Lei n. 3.688/41), tendo sido condenado à pena de multa. A sentença transitou definitivamente em julgado no dia 15/03/2010, mas Guilherme não pagou a multa. No dia 10/07/2010, Guilherme praticou crime de ato obsceno (Art. 233 do CP).
Com base na situação descrita e na legislação, assinale a afirmativa correta.",A,C,False,True,"{```json
{
  ""resposta_objetiva"": ""C""
}
```",2026-03-31T01:38:11Z
2012-09_64,OBJETIVA,J2,gemma2,medio,Direito Penal,Erro de Proibição,"Jaime, brasileiro, passou a morar em um país estrangeiro no ano de 1999. Assim como seu falecido pai, Jaime tinha por hábito sempre levar consigo acessórios de arma de fogo, o que não era proibido, levando-se em conta a legislação vigente à época, a saber, a Lei n. 9.437/97. Tal hábito foi mantido no país estrangeiro que, em sua legislação, não vedava a conduta. Todavia, em 2012, Jaime resolve vir de férias ao Brasil. Além de matar as saudades dos familiares, Jaime também queria apresentar o país aos seus dois filhos, ambos nascidos no estrangeiro. Ocorre que, dois dias após sua chegada, Jaime foi preso em flagrante por portar ilegalmente acessório de arma de fogo, conduta descrita no Art. 14 da Lei n. 10.826/2003, verbis: “Portar, deter, adquirir, fornecer, receber, ter em depósito, transportar, ceder, ainda que gratuitamente, emprestar, remeter, empregar, manter sob guarda ou ocultar arma de fogo, acessório ou munição, de uso permitido, sem autorização e em desacordo com determinação legal ou regulamentar”.
Nesse sentido, podemos afirmar que Jaime agiu em hipótese de",A,B,False,True,"{```json
{
  ""resposta_objetiva"": ""B""
}
```",2026-03-31T01:38:13Z
2012-09_65,OBJETIVA,J2,gemma2,medio,Direito Penal,Suspensão Condicional do Processo e Transação Penal,"Com relação à Lei n. 9.099/95, assinale a afirmativa incorreta.",B,C,False,True,"{```json
{
  ""resposta_objetiva"": ""C""
}
```",2026-03-31T01:38:16Z
2012-09_66,OBJETIVA,J2,gemma2,facil,Direito Penal,Prisao em Flagrante,"O Código de Processo Penal pátrio menciona que também se considera em flagrante delito quem é perseguido, logo após o delito, pela autoridade, pelo ofendido ou por qualquer pessoa, em situação que faça presumir ser o perseguido autor da infração.
A essa modalidade dá-se o nome de flagrante",A,C,False,True,"{```json
{
  ""resposta_objetiva"": ""C""
}
```",2026-03-31T01:38:18Z
2012-09_67,OBJETIVA,J2,gemma2,facil,Direito Penal,Ação Penal,"Em relação aos procedimentos previstos na Lei n. 8.666/93, que instituiu as normas de licitações e contratos da Administração Pública, assinale a afirmativa correta.",A,C,False,True,"{```json
{
  ""resposta_objetiva"": ""C""
}
```",2026-03-31T01:38:20Z
2012-09_68,OBJETIVA,J2,gemma2,medio,Direito Penal,Embargos Infringentes e de Nulidade,"Joel foi condenado pela prática do crime de extorsão mediante sequestro. A defesa interpôs recurso de Apelação, que foi recebido e processado, sendo certo que o tribunal, de forma não unânime, manteve a condenação imposta pelo juízo a quo. O advogado do réu verifica que o acórdão viola, de forma direta, dispositivos constitucionais, razão pela qual decide continuar recorrendo da decisão exarada pela Segunda Instância.
De acordo com as informações acima, assinale a alternativa que indica o recurso a ser interposto.",D,C,False,True,"{```json
{
  ""resposta_objetiva"": ""C"" 
}
```",2026-03-31T01:38:22Z
2012-09_69,OBJETIVA,J2,gemma2,medio,Direito Penal,Lei Maria da Penha (Violência Doméstica),"Em relação à Lei Maria da Penha, assinale a afirmativa correta.",D,A,False,True,"{```json
{
  ""resposta_objetiva"": ""A""
}
```",2026-03-31T01:38:24Z
2012-09_70,OBJETIVA,J2,gemma2,facil,Direito do Trabalho,Aposentadoria por Invalidez,"Após sofrer um acidente automobilístico de gravíssimas proporções enquanto viajava a lazer, o empregado Pedro foi aposentado por invalidez pelo INSS. Assinale a alternativa que indica o efeito desse fato no seu contrato de trabalho.",B,D,False,True,"{```json
{
  ""resposta_objetiva"": ""D""
}
```",2026-03-31T01:38:27Z
2012-09_71,OBJETIVA,J2,gemma2,medio,Direito do Trabalho,Intervalo Intrajornada,"Maria foi contratada pela empresa Bolos S.A. para exercer a função de copeira, cumprindo jornada de trabalho de segunda à sexta-feira das 13:00 h às 17:00 h, sem intervalo alimentar. Decorridos dois anos do início do pacto contratual, foi a empregada dispensada, recebendo as parcelas da ruptura.
Contudo, inconformada porque jamais lhe foi permitido usufruir de intervalo para descanso e alimentação, Maria ajuíza reclamação trabalhista postulando o pagamento do período correspondente ao intervalo alimentar não concedido.
Diante da hipótese relatada, assinale a afirmativa correta.",C,C,True,True,"{```json
{
  ""resposta_objetiva"": ""C""
}
```",2026-03-31T01:38:29Z
2012-09_72,OBJETIVA,J2,gemma2,facil,Direito do Trabalho,Homologação e Assistência na Rescisão,"Partindo-se da premissa legal de que o pedido de demissão ou recibo de quitação de rescisão do contrato de trabalho, firmado por empregado com mais de um ano de serviço, somente será válido quando realizado perante a autoridade competente, assinale a afirmativa correta.",C,D,False,True,"{```json
{
  ""resposta_objetiva"": ""D"" 
}
```",2026-03-31T01:38:31Z
2012-09_73,OBJETIVA,J2,gemma2,facil,Direito do Trabalho,Requisitos para Contratação e Exigência de Experiência,"Buscando profissionais experientes para manusear equipamentos de alta tecnologia e custo extremamente elevado, uma empresa anuncia a existência de vagas para candidatos que possuam dois anos de experiência prévia em determinada atividade.
A partir da hipótese apresentada, assinale a afirmativa correta.",A,D,False,True,"{```json
{
  ""resposta_objetiva"": ""D""
}
```",2026-03-31T01:38:33Z
2012-09_74,OBJETIVA,J2,gemma2,medio,Direito do Trabalho,Extinção do Contrato e Prescrição,"De acordo com o entendimento consolidado da jurisprudência, a mudança de regime jurídico do empregado celetista para estatutário",C,A,False,True,"{```json
{
  ""resposta_objetiva"": ""A""
}
```",2026-03-31T01:38:35Z
2012-09_75,OBJETIVA,J2,gemma2,medio,Direito do Trabalho,Custas e Responsabilidade Solidária,"Assinale a alternativa em que há, incontroversamente, responsabilidade solidária no âmbito trabalhista.",C,B,False,True,"{```json
{
  ""resposta_objetiva"": ""B""
}
```",2026-03-31T01:38:37Z
2012-09_76,OBJETIVA,J2,gemma2,medio,Direito do Trabalho,Citação na Execução Trabalhista,"De acordo com a Consolidação das Leis do Trabalho, assinale a afirmativa correta.",C,C,True,True,"{```json
{
  ""resposta_objetiva"": ""C""
}
```",2026-03-31T01:38:40Z
2012-09_77,OBJETIVA,J2,gemma2,medio,Direito do Trabalho,Preferência de Tramitação,"Um dos princípios norteadores do Processo do Trabalho é o da celeridade, dada a natureza salarial do crédito trabalhista. Entretanto, por força de Lei, algumas causas especiais possuem preferência na tramitação. Das situações listadas a seguir, assinale aquela que terá preferência em todas as fases processuais.",B,B,True,True,"{```json
{
  ""resposta_objetiva"": ""B""
}
```",2026-03-31T01:38:42Z
2012-09_78,OBJETIVA,J2,gemma2,medio,Direito do Trabalho,Reconvenção e Competência da Justiça do Trabalho,"Uma das espécies de resposta é a reconvenção, que vem a ser a ação do réu contra o autor no mesmo feito e juízo em que é demandado. Malgrado não estar formalmente previsto na CLT, é pacífico o cabimento da reconvenção nas lides trabalhistas. Das hipóteses abaixo listadas, assinale aquela em que, pela natureza da pretensão deduzida, seria inviável a apresentação de reconvenção na Justiça do Trabalho.",D,C,False,True,"{```json
{
  ""resposta_objetiva"": ""C""
}
```",2026-03-31T01:38:44Z
2012-09_79,OBJETIVA,J2,gemma2,medio,Direito do Trabalho,Liquidação de Sentença,"A liquidação tem por objetivo a apuração do quantum debeatur nas sentenças proferidas de forma ilíquida e que tenham deferido, ao menos em parte, a pretensão deduzida. De acordo com a CLT, assinale a alternativa que indica as formas possíveis de liquidação da sentença nas obrigações de dar (pagar) e, caso o juiz conceda prazo às partes para manifestação, o número de dias para a impugnação.",B,D,False,True,"{```json
{
  ""resposta_objetiva"": ""D""
}
```",2026-03-31T01:38:46Z
2012-09_80,OBJETIVA,J2,gemma2,medio,Direito do Trabalho,Jus Postulandi,"Na Justiça do Trabalho, segundo o entendimento sumulado pelo TST, é correto afirmar-se que o jus postulandi",A,D,False,True,"{```json
{
  ""resposta_objetiva"": ""D""
}
```",2026-03-31T01:38:48Z
2013-10_1,OBJETIVA,J2,gemma2,medio,Ética Profissional,Publicação de Alegações Forenses,"O advogado João, que também é formado em Comunicação Social, atua nas duas profissões, possuindo uma coluna onde apresenta noticias jurídicas, com informações sobre atividades policiais, forenses ou vinculadas ao Ministério Público. Semanalmente inclui, nos seus comentários, alguns em forma de poesia, suas alegações forenses e os resultados dos processos sob sua responsabilidade, divulgando, com isso, seu trabalho como advogado.
À luz das normas estatutárias, assinale a afirmativa correta.",B,D,False,True,"{```json
{
  ""resposta_objetiva"": ""D"" 
}
```",2026-03-31T01:38:51Z
2013-10_2,OBJETIVA,J2,gemma2,medio,Ética Profissional,Visto em Atos Constitutivos,"O advogado Mário pertence aos quadros da sociedade de economia mista controlada pelo Estado W, na qual chefia o Departamento Jurídico. Não existe óbice para a prestação de serviços de advocacia privada, o que ocorre no escritório que possui no centro da capital do Estado, em horário diverso do expediente na empresa. Um dos seus clientes realiza contrato para que Mário aponha o seu visto em ato constitutivo de pessoa jurídica, em Junta Comercial cuja sede está localizada na capital do Estado W.
Observado tal relato, consoante as normas do Regulamento Geral do Estatuto da Advocacia e da OAB, assinale a afirmativa correta.",D,A,False,True,"{```json
{
  ""resposta_objetiva"": ""A""
}
```",2026-03-31T01:38:53Z
2013-10_3,OBJETIVA,J2,gemma2,medio,Ética Profissional,Assistência e Defesa das Prerrogativas pela OAB,"João, advogado regularmente inscrito nos quadros da Ordem dos Advogados do Brasil, veio a ser indiciado por força de investigação proposta em face de um dos seus inúmeros clientes, não tendo o causídico participado de qualquer ato ilícito, mas apenas como advogado. Veio a saber que seu nome fora incluído por força de exercício considerado exacerbado de sua atividade advocatícia. Contratou advogado para a sua defesa no inquérito criminal e postulou assistência à Ordem dos Advogados do Brasil por entender feridas suas prerrogativas profissionais.
Observado tal relato, consoante as normas do Regulamento Geral do Estatuto da Advocacia e da OAB, assinale a afirmativa correta.",B,D,False,True,"{```json
{
  ""resposta_objetiva"": ""D""
}
```",2026-03-31T01:38:55Z
2013-10_4,OBJETIVA,J2,gemma2,facil,Ética Profissional,Pagamento de Honorários,"Nos termos do Estatuto da Advocacia existe a previsão de pagamento de honorários advocatícios. Assinale a afirmativa que indica como deve ocorrer o pagamento, quando não houver estipulação em contrário.",B,C,False,True,"{```json
{
  ""resposta_objetiva"": ""C"" 
}
```",2026-03-31T01:38:57Z
2013-10_5,OBJETIVA,J2,gemma2,facil,Ética Profissional,Exame de autos sem procuração e obtenção de cópias,"A advogada Maria solicitou, no cartório de determinada vara cível, ter vista e extrair cópias dos autos de processo não sujeito a sigilo. O serventuário a quem foi feita a solicitação afirmou que Maria não havia juntado procuração aos autos do processo em questão e, em razão disso, apenas poderia ter vista dos autos e que lhe seria vedada a extração de cópias.
A partir do caso apresentado, assinale a afirmativa correta.",A,B,False,True,"{```json
{
  ""resposta_objetiva"": ""B""
}
```",2026-03-31T01:39:00Z
2012-08_40,OBJETIVA,J2,llama323b,medio,Direito Civil,Onerosidade excessiva e teoria da imprevisão,"Utilizando-se das regras afetas ao direito das obrigações, assinale a alternativa correta.",B,A,False,True,"{{""resposta_objetiva"": ""A""}",2026-03-31T01:44:57Z
2012-08_41,OBJETIVA,J2,llama323b,medio,Direito Civil,Contratos atípicos e vedação de pacto sucessório,"Embora sujeito às constantes mutações e às diferenças de contexto em que é aplicado, o conceito tradicional de contrato sugere que ele representa o acordo de vontades estabelecido com a finalidade de produzir efeitos jurídicos.
Tomando por base a teoria geral dos contratos, assinale a afirmativa correta.",B,B,True,True,"{{""resposta_objetiva"": ""B""}",2026-03-31T01:44:58Z
2012-08_42,OBJETIVA,J2,llama323b,medio,Direito Civil,Usucapião familiar (abandono do lar),"Em janeiro de 2010, Nádia, unida estavelmente com Rômulo, após dez anos de convivência e sem que houvesse entre eles contrato escrito que disciplinasse as relações entre companheiros, abandona definitivamente o lar. Nos dois anos seguintes, Rômulo, que não é proprietário de outro imóvel urbano ou rural, continuou, ininterruptamente, sem oposição de quem quer que fosse, na posse direta e exclusiva do imóvel urbano com 200 metros quadrados, cuja propriedade dividia com Nádia e que servia de moradia do casal. Em março de 2012, Rômulo – que nunca havia ajuizado ação de usucapião, de qualquer espécie, contra quem quer que fosse - ingressou com ação de usucapião, pretendendo o reconhecimento judicial para adquirir integralmente o domínio do referido imóvel.
Diante dessa situação hipotética, assinale a afirmativa correta.",D,B,False,True,"{{""resposta_objetiva"": ""B""}",2026-03-31T01:44:59Z
2012-08_43,OBJETIVA,J2,llama323b,medio,Direito Civil,Tutela de menor e alienação de bens do incapaz,"Eduardo e Mônica, casados, tinham um filho menor chamado Renato. Por orientação de um advogado, Eduardo e Mônica, em 2005, fizeram os respectivos testamentos e nomearam Lúcio, irmão mais velho de Eduardo, como tutor do menor para o caso de alguma eventualidade. Pouco antes da nomeação por testamento, Lúcio fora definitivamente condenado pelo crime de dano (art. 163 do Código Penal), mas o casal manteve a nomeação, acreditando no arrependimento de Lúcio, que, desde então, mostrou conduta socialmente adequada.
Em 2010, Eduardo e Mônica morreram em um acidente aéreo. Dois anos depois do acidente, pretendendo salvaguardar os interesses do menor colocado sob sua tutela, Lúcio, prevendo manifesta vantagem negocial em virtude do aumento dos preços dos imóveis, decide alienar a terceiros um dos bens imóveis do patrimônio de Renato, depositando, imediatamente, todo o dinheiro obtido na negociação em uma conta de poupança, aberta em nome do menor.
Diante do caso narrado, assinale a afirmativa correta.",C,C,True,True,"{{""resposta_objetiva"": ""C""}",2026-03-31T01:45:01Z
2012-08_44,OBJETIVA,J2,llama323b,facil,Direito da Criança e do Adolescente,Hospedagem de crianças e adolescentes,"João e Maria, ambos adolescentes, com dezessete e dezesseis anos, respectivamente, resolvem realizar uma viagem para comemorar o aniversário de um ano de namoro. Como destino, o jovem casal elege Armação dos Búzios, no estado do Rio de Janeiro, e efetua a reserva, por telefone, em uma pousada do balneário.
Considerando a normativa acerca da prevenção especial contida na Lei n. 8.069, de 13 de julho de 1990, assinale a afirmativa correta.",D,D,True,True,"{{""resposta_objetiva"": ""D""}",2026-03-31T01:45:02Z
2012-08_45,OBJETIVA,J2,llama323b,facil,Direito da Criança e do Adolescente,Atribuições do Conselho Tutelar,"Acerca das atribuições do Conselho Tutelar determinadas no Estatuto da Criança e do Adolescente, assinale a alternativa correta.",A,A,True,True,"{{""resposta_objetiva"": ""A""}",2026-03-31T01:45:03Z
2012-08_46,OBJETIVA,J2,llama323b,medio,Direito do Consumidor,Cláusulas Abusivas e Legitimidade Institucional,"João celebrou contrato de seguro de vida e invalidez, aderindo a plano oferecido por conhecida rede particular. O contrato de adesão, válido por cinco anos, prevê a possibilidade de cancelamento, em favor da seguradora, antes de ocorrer o sinistro, por alegação de desequilíbrio econômico-financeiro.
A esse respeito, assinale a afirmativa correta.",C,B,False,True,"{{""resposta_objetiva"": ""B""}",2026-03-31T01:45:04Z
2012-08_47,OBJETIVA,J2,llama323b,medio,Direito do Consumidor,Defeito do produto e violação da segurança do consumidor,"Determinado consumidor, ao mastigar uma fatia de pão com geleia, encontrou um elemento rígido, o que lhe causou intenso desconforto e a quebra parcial de um dos dentes. Em razão do fato, ingressou com medida judicial em face do mercado que vendeu a geleia, a fim de ser reparado. No curso do processo, a perícia constatou que o elemento encontrado era uma pequena porção de açúcar cristalizado, não oferecendo risco à saúde do autor.
Diante desta narrativa, assinale a afirmativa correta.",B,B,True,True,"{{""resposta_objetiva"": ""B""}",2026-03-31T01:45:05Z
2012-08_48,OBJETIVA,J2,llama323b,Média,Direito Empresarial,Cheque,"Com relação ao instituto do cheque, assinale a afirmativa correta.",B,C,False,True,"{{""resposta_objetiva"": ""C""}",2026-03-31T01:45:06Z
2012-08_49,OBJETIVA,J2,llama323b,facil,Direito Empresarial,Sociedade em Conta de Participação,"A respeito do sócio ostensivo da sociedade em conta de participação, assinale a afirmativa correta.",B,C,False,True,"{{""resposta_objetiva"": ""C""}",2026-03-31T01:45:07Z
2012-08_50,OBJETIVA,J2,llama323b,dificil,Direito Empresarial,Debêntures e Órgãos da Companhia,"A Assembleia Geral de S.A. Empreendimentos Turísticos, companhia aberta sediada em “X”, delegou ao Conselho de Administração a deliberação sobre a oportunidade de emissão, época e condições de vencimento de debêntures conversíveis em ações. Petrossian Participações Ltda., acionista minoritário, consultou seu advogado sobre a legalidade da deliberação.
Com relação ao fato acima, assinale a alternativa que apresenta a resposta correta à consulta.",A,A,True,True,"{{""resposta_objetiva"": ""A""}",2026-03-31T01:45:08Z
2012-08_51,OBJETIVA,J2,llama323b,medio,Direito Empresarial,Processamento e Plano de Recuperação Judicial,"A respeito da recuperação judicial, assinale a afirmativa correta.",C,B,False,True,"{{""resposta_objetiva"": ""B""}",2026-03-31T01:45:10Z
2012-08_52,OBJETIVA,J2,llama323b,medio,Direito Empresarial,Administração da EIRELI e Responsabilidade dos Administradores,"José decidiu constituir uma Empresa Individual de Responsabilidade Limitada (EIRELI) para atuar no município “X” e consultou um advogado para obter esclarecimentos sobre a administração da EIRELI.
Assinale a alternativa que apresenta a informação correta dada pelo advogado.",C,C,True,True,"{{""resposta_objetiva"": ""C""}",2026-03-31T01:45:11Z
2012-08_53,OBJETIVA,J2,llama323b,medio,Direito Civil,Ação Declaratória Incidental e Coisa Julgada,"A parte que, no curso do processo comum ordinário, suscitar questão prejudicial e requerer ao juiz não apenas o exame, mas o julgamento dessa questão, que passará a integrar o dispositivo da sentença, deverá requerer",B,N/A,False,False,"{""A""",2026-03-31T01:45:11Z
2012-08_54,OBJETIVA,J2,llama323b,facil,Direito Civil,Procedimento Sumário,"O procedimento sumário deve ser adotado em causas cujo valor não supere sessenta salários mínimos ou em situações, qualquer que seja o valor da causa, em que se debata um dos assuntos previstos na lei.
Indique, dentre as alternativas abaixo, a que contém espécie de resposta que não pode ser apresentada pelo réu no rito comum sumário.",A,B,False,True,"{{""resposta_objetiva"": ""B""}",2026-03-31T01:45:12Z
2012-08_55,OBJETIVA,J2,llama323b,medio,Direito Civil,Incidente de Uniformização de Jurisprudência,"A uniformização de jurisprudência é um instituto jurídico que tem por objetivo diminuir os impactos das divergências entre julgamentos do mesmo assunto.
A respeito da uniformização de jurisprudência, asinale a afirmativa correta.",C,A,False,True,"{{""resposta_objetiva"": ""A""}",2026-03-31T01:45:13Z
2012-08_56,OBJETIVA,J2,llama323b,medio,Direito Civil,Cumprimento de Sentença,"Nos autos de ação indenizatória movida por Henrique em face de Paulo, ambos prósperos empresários, transitou em julgado sentença de procedência do pleito autoral, condenando o réu ao pagamento de indenização, no montante equivalente a 500 salários mínimos, na data da prolação da sentença, acrescidos de juros legais e correção monetária.
Assinale a alternativa que apresenta a providência a ser imediatamente adotada pelo advogado de Henrique.",B,B,True,True,"{{""resposta_objetiva"": ""B""}",2026-03-31T01:45:15Z
2012-08_57,OBJETIVA,J2,llama323b,facil,Direito Civil,Chamamento ao Processo,"Vinícius foi demandado em uma ação de cobrança por ter sido fiador de sua sogra, Francisca. Assinale a alternativa que indica a medida a ser adotada por Vinícius para trazer Francisca para o pólo passivo desse processo.",C,N/A,False,False,"{""A""",2026-03-31T01:45:15Z
2012-08_58,OBJETIVA,J2,llama323b,medio,Direito Civil,Competência Absoluta e Relativa,"O sistema processual pátrio estabelece duas espécies de incompetência: a incompetência absoluta e a incompetência relativa.
Acerca do tema, assinale a afirmativa correta.",B,D,False,True,"{{""resposta_objetiva"": ""D""}",2026-03-31T01:45:16Z
2012-08_59,OBJETIVA,J2,llama323b,medio,Direito Penal,Princípio da Insignificância,"Em relação ao princípio da insignificância, assinale a afirmativa correta.",B,C,False,True,"{{""resposta_objetiva"": ""C""}",2026-03-31T01:45:17Z
2012-08_60,OBJETIVA,J2,llama323b,facil,Direito Penal,"Anistia, graça e indulto","Trata-se de causa extintiva da punibilidade consistente na exclusão, por lei ordinária com efeitos retroativos, de um ou mais fatos criminosos do campo de incidência do Direito Penal,",B,B,True,True,"{{""resposta_objetiva"": ""B""}",2026-03-31T01:45:18Z
2012-08_61,OBJETIVA,J2,llama323b,dificil,Direito Penal,Comunicabilidade de Circunstâncias e Elementares,"Analise detidamente as seguintes situações:
Casuística 1: Amarildo, ao chegar a sua casa, constata que sua filha foi estuprada por Terêncio. Imbuído de relevante valor moral, contrata Ronaldo, pistoleiro profissional, para tirar a vida do estuprador. O serviço é regularmente executado.
Casuística 2: Lucas concorre para um infanticídio auxiliando Julieta, parturiente, a matar o nascituro – o que efetivamente acontece. Lucas sabia, desde o início, que Julieta estava sob a influência do estado puerperal.
Levando em consideração a legislação vigente e a doutrina sobre o concurso de pessoas (concursus delinquentium), é correto afirmar que",A,B,False,True,"{{""resposta_objetiva"": ""B""}",2026-03-31T01:45:19Z
2012-08_62,OBJETIVA,J2,llama323b,medio,Direito Penal,Culpabilidade,Analise as hipóteses abaixo relacionadas e assinale a alternativa que apresenta somente causas excludentes de culpabilidade.,A,C,False,True,"{{""resposta_objetiva"": ""C""}",2026-03-31T01:45:20Z
2012-08_63,OBJETIVA,J2,llama323b,dificil,Direito Penal,Imputação Objetiva,"José conversava com Antônio em frente a um prédio. Durante a conversa, José percebe que João, do alto do edifício, jogara um vaso mirando a cabeça de seu interlocutor. Assustado, e com o fim de evitar a possível morte de Antônio, José o empurra com força. Antônio cai e, na queda, fratura o braço. Do alto do prédio, João vê a cena e fica irritado ao perceber que, pela atuação rápida de José, não conseguira acertar o vaso na cabeça de Antônio.
Com base no caso apresentado, segundo os estudos acerca da teoria da imputação objetiva, assinale a afirmativa correta.",C,C,True,True,"{{""resposta_objetiva"": ""C""}",2026-03-31T01:45:21Z
